rhor,xne,xni,xte,xti,vpold,vtord,xer,,,,,,,,,,,,,,,,,,,,,,,,,
7.60E-01,5.46571E+19,3.59369E+19,833.20932,903.08041,-2463.1053,99409.62,26052.187,,,,,,,,,,,,,,,,,,,,,,,,,
7.65E-01,5.47483E+19,3.60136E+19,824.53806,894.83024,-2511.8677,98931.638,25810.715,,,,,,,,,,,,,,,,,,,,,,,,,
7.70E-01,5.48392E+19,3.60956E+19,815.92859,886.57369,-2561.0256,98449.7,25565.832,,,,,,,,,,,,,,,,,,,,,,,,,
7.75E-01,5.49292E+19,3.61832E+19,807.39624,878.30397,-2610.4503,97960.802,25313.139,,,,,,,,,,,,,,,,,,,,,,,,,
7.80E-01,5.50177E+19,3.62766E+19,798.94456,870.02404,-2660.0622,97461.936,25061.745,,,,,,,,,,,,,,,,,,,,,,,,,
7.85E-01,5.51038E+19,3.63761E+19,790.56008,861.72566,-2709.7496,96955.425,24799.742,,,,,,,,,,,,,,,,,,,,,,,,,
7.90E-01,5.51871E+19,3.64818E+19,782.2728,853.40584,-2759.404,96442.28,24530.148,,,,,,,,,,,,,,,,,,,,,,,,,
7.95E-01,5.52667E+19,3.6594E+19,774.04952,845.06712,-2808.9252,95914.942,24254.333,,,,,,,,,,,,,,,,,,,,,,,,,
8.00E-01,5.5342E+19,3.67129E+19,765.92445,836.697,-2858.1886,95369.738,23979.181,,,,,,,,,,,,,,,,,,,,,,,,,
8.05E-01,5.54124E+19,3.68387E+19,757.88444,828.30313,-2907.1103,94805.776,23696.896,,,,,,,,,,,,,,,,,,,,,,,,,
8.10E-01,5.5477E+19,3.69717E+19,749.93088,819.87457,-2955.5848,94230.747,23388.201,,,,,,,,,,,,,,,,,,,,,,,,,
8.15E-01,5.55353E+19,3.71121E+19,742.08496,811.40816,-3003.4529,93631.965,23083.971,,,,,,,,,,,,,,,,,,,,,,,,,
8.20E-01,5.55866E+19,3.726E+19,734.31212,802.90909,-3050.7217,93005.869,22777.55,,,,,,,,,,,,,,,,,,,,,,,,,
8.25E-01,5.56301E+19,3.74157E+19,726.65693,794.36002,-3097.1664,92360.876,22446.058,,,,,,,,,,,,,,,,,,,,,,,,,
8.30E-01,5.56652E+19,3.75795E+19,719.08852,785.77564,-3142.7465,91692.183,22108.915,,,,,,,,,,,,,,,,,,,,,,,,,
8.35E-01,5.56913E+19,3.77515E+19,711.62758,777.13703,-3187.3577,90986.33,21766.752,,,,,,,,,,,,,,,,,,,,,,,,,
8.40E-01,5.57076E+19,3.79319E+19,704.28307,768.45057,-3230.8373,90250.672,21406.757,,,,,,,,,,,,,,,,,,,,,,,,,
8.45E-01,5.57134E+19,3.81211E+19,697.02473,759.71095,-3273.1675,89481.616,21030.312,,,,,,,,,,,,,,,,,,,,,,,,,
8.50E-01,5.57081E+19,3.83192E+19,689.89818,750.91817,-3314.1716,88650.496,20649.244,,,,,,,,,,,,,,,,,,,,,,,,,
8.55E-01,5.56909E+19,3.85263E+19,682.86768,742.07605,-3353.7203,87771.278,20226.185,,,,,,,,,,,,,,,,,,,,,,,,,
8.60E-01,5.56613E+19,3.87429E+19,675.95631,733.17842,-3391.9155,86811.541,19805.428,,,,,,,,,,,,,,,,,,,,,,,,,
8.65E-01,5.56185E+19,3.89689E+19,669.17212,724.23366,-3428.1255,85775.137,19328.133,,,,,,,,,,,,,,,,,,,,,,,,,
8.70E-01,5.55618E+19,3.92048E+19,662.48184,715.2334,-3462.9434,84638.341,18857.456,,,,,,,,,,,,,,,,,,,,,,,,,
8.75E-01,5.54905E+19,3.94507E+19,655.92775,706.1861,-3495.778,83408.57,18329.563,,,,,,,,,,,,,,,,,,,,,,,,,
8.80E-01,5.54466E+19,3.96702E+19,649.47884,697.0838,-3526.5747,82056.779,17755.144,,,,,,,,,,,,,,,,,,,,,,,,,
