rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
2.65E-01,3.74E+19,3.49E+19,1.14E+03,1.09E+03,6.06E+03,1.59E+18,2.50E-02,0.42327067,0.659014493,-1.39E+02,2.34E+04,0.50590861,5.59E-01,6
2.70E-01,3.72E+19,3.47E+19,1.13E+03,1.08E+03,6.13E+03,1.58E+18,2.50E-02,0.41675371,0.645657143,-1.47E+02,2.35E+04,0.5050683,5.65E-01,6
2.75E-01,3.70E+19,3.44E+19,1.12E+03,1.07E+03,6.19E+03,1.57E+18,2.50E-02,0.41038033,0.641657143,-1.55E+02,2.35E+04,0.50447071,5.71E-01,6
2.80E-01,3.68E+19,3.42E+19,1.12E+03,1.06E+03,6.26E+03,1.56E+18,2.50E-02,0.40431187,0.628676056,-1.64E+02,2.35E+04,0.5045197,5.76E-01,6
2.85E-01,3.66E+19,3.40E+19,1.11E+03,1.06E+03,6.32E+03,1.55E+18,2.50E-02,0.39856714,0.616,-1.73E+02,2.35E+04,0.50509667,5.83E-01,6
2.90E-01,3.64E+19,3.38E+19,1.10E+03,1.05E+03,6.39E+03,1.54E+18,2.50E-02,0.39286378,0.603616438,-1.82E+02,2.35E+04,0.50594592,5.89E-01,6
2.95E-01,3.62E+19,3.35E+19,1.09E+03,1.04E+03,6.45E+03,1.53E+18,2.50E-02,0.38735378,0.599616438,-1.92E+02,2.35E+04,0.50722104,5.95E-01,6
3.00E-01,3.61E+19,3.33E+19,1.09E+03,1.03E+03,6.50E+03,1.52E+18,2.50E-02,0.38212931,0.595616438,-2.02E+02,2.35E+04,0.50900722,6.01E-01,6
3.05E-01,3.59E+19,3.31E+19,1.08E+03,1.02E+03,6.56E+03,1.51E+18,2.50E-02,0.37697259,0.57584,-2.12E+02,2.36E+04,0.51094687,6.08E-01,6
3.10E-01,3.57E+19,3.29E+19,1.07E+03,1.01E+03,6.62E+03,1.50E+18,2.50E-02,0.37188295,0.42888,-2.23E+02,2.36E+04,0.51324743,6.14E-01,6
3.15E-01,3.55E+19,3.27E+19,1.06E+03,1.00E+03,6.67E+03,1.50E+18,2.50E-02,0.36705294,0.56784,-2.34E+02,2.36E+04,0.51607621,6.21E-01,6
3.20E-01,3.53E+19,3.25E+19,1.06E+03,9.93E+02,6.73E+03,1.49E+18,2.50E-02,0.36253002,0.556421053,-2.45E+02,2.36E+04,0.51979619,6.27E-01,6
3.25E-01,3.51E+19,3.23E+19,1.05E+03,9.84E+02,6.78E+03,1.48E+18,2.50E-02,0.35800758,0.545246753,-2.57E+02,2.36E+04,0.52392203,6.34E-01,6
3.30E-01,3.49E+19,3.20E+19,1.04E+03,9.75E+02,6.83E+03,1.47E+18,2.50E-02,0.35370308,0.541246753,-2.69E+02,2.36E+04,0.52899289,6.41E-01,6
3.35E-01,3.47E+19,3.18E+19,1.03E+03,9.65E+02,6.87E+03,1.46E+18,2.50E-02,0.34959042,0.537246753,-2.81E+02,2.37E+04,0.53485572,6.48E-01,6
3.40E-01,3.45E+19,3.17E+19,1.03E+03,9.56E+02,6.92E+03,1.45E+18,2.50E-02,0.34555644,0.526410256,-2.94E+02,2.37E+04,0.54150558,6.55E-01,6
3.45E-01,3.43E+19,3.15E+19,1.02E+03,9.47E+02,6.96E+03,1.44E+18,2.50E-02,0.34169972,0.522410256,-3.07E+02,2.37E+04,0.54908061,6.62E-01,6
