rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
5.50E-01,5.37E+19,3.46E+19,1232.3424,1283.9606,33658.222,1.87E+19,0.025,0.31192896,0.33389368,-933.54564,124319.37,3.5470312
5.55E-01,5.36E+19,3.46E+19,1222.6511,1273.1966,33489.574,1.86E+19,0.025,0.31160796,0.32927703,-959.23832,123518.51,4.7832289
5.60E-01,5.35E+19,3.46E+19,1212.9402,1262.5814,33313.625,1.85E+19,0.025,0.3110739,0.32459736,-985.39813,122729.6,7.1554794
5.65E-01,5.35E+19,3.46E+19,1203.2122,1252.1089,33142.04,1.85E+19,0.025,0.31064144,0.32015354,-1012.0293,121948.94,13.468315
5.70E-01,5.34E+19,3.46E+19,1193.4754,1241.7053,32973.557,1.84E+19,0.025,0.31015134,0.31578519,-1039.136,121176.36,134.84692
5.75E-01,5.33E+19,3.46E+19,1183.726,1231.4389,32804.337,1.83E+19,0.025,0.30953044,0.31146152,-1066.7224,120416.57,-21.863199
5.80E-01,5.32E+19,3.46E+19,1173.9659,1221.3038,32630.348,1.83E+19,0.025,0.30882674,0.30716807,-1094.7928,119670.21,-10.026873
5.85E-01,5.32E+19,3.46E+19,1164.2006,1211.2375,32455.99,1.82E+19,0.025,0.30829334,0.30319451,-1123.3514,118933.94,-6.6950898
5.90E-01,5.31E+19,3.46E+19,1154.429,1201.2913,32293.35,1.81E+19,0.025,0.30742016,0.29904173,-1152.4024,118205.56,-5.1180501
5.95E-01,5.31E+19,3.46E+19,1144.6532,1191.4654,32122.261,1.81E+19,0.025,0.3064709,0.29495185,-1181.9499,117491.35,-4.2202482
6.00E-01,5.31E+19,3.46E+19,1134.8767,1181.708,31946.65,1.80E+19,0.025,0.30556634,0.29107449,-1211.9965,116791.97,-3.6439836
6.05E-01,5.31E+19,3.47E+19,1125.0997,1172.0542,31771.313,1.80E+19,0.025,0.30461302,0.28726483,-1242.5504,116107.02,-3.2499001
6.10E-01,5.30E+19,3.47E+19,1115.3256,1162.51,31614.359,1.80E+19,0.025,0.30342051,0.28338478,-1273.615,115428.28,-2.9700952
6.15E-01,5.30E+19,3.47E+19,1105.555,1153.0329,31449.856,1.79E+19,0.025,0.30227387,0.27970425,-1305.1941,114764.83,-2.7684929
6.20E-01,5.30E+19,3.48E+19,1095.7901,1143.644,31282.965,1.79E+19,0.025,0.30092385,0.27598063,-1337.2919,114116.57,-2.620671
